feature,coef,abs_coef,direction
f_0,0.010318107071371778,0.010318107071371778,↑ increases RED risk
f_3,-0.009326074631149556,0.009326074631149556,↓ decreases RED risk
f_69,0.005429554305894613,0.005429554305894613,↑ increases RED risk
f_82,0.004744541314912209,0.004744541314912209,↑ increases RED risk
f_81,0.00450105716939898,0.00450105716939898,↑ increases RED risk
f_75,-0.003343183043797243,0.003343183043797243,↓ decreases RED risk
f_57,0.0024624053198343356,0.0024624053198343356,↑ increases RED risk
f_72,0.0023769239817311174,0.0023769239817311174,↑ increases RED risk
f_77,-0.002288104970293328,0.002288104970293328,↓ decreases RED risk
f_8,-0.001972514639576737,0.001972514639576737,↓ decreases RED risk
f_9,0.0018475622591417205,0.0018475622591417205,↑ increases RED risk
f_83,0.0017787417337202791,0.0017787417337202791,↑ increases RED risk
f_56,0.0017152267221388856,0.0017152267221388856,↑ increases RED risk
f_54,0.0016215133024351782,0.0016215133024351782,↑ increases RED risk
f_26,0.0015149510842593003,0.0015149510842593003,↑ increases RED risk
f_44,-0.0014024166211615403,0.0014024166211615403,↓ decreases RED risk
f_11,0.001292454193415571,0.001292454193415571,↑ increases RED risk
f_71,-0.0012455521690108641,0.0012455521690108641,↓ decreases RED risk
f_67,0.001120861284095344,0.001120861284095344,↑ increases RED risk
f_74,0.0011158168649021258,0.0011158168649021258,↑ increases RED risk
f_37,-0.0010587807604480826,0.0010587807604480826,↓ decreases RED risk
f_53,-0.0010358501819667679,0.0010358501819667679,↓ decreases RED risk
f_70,-0.0009685086104120681,0.0009685086104120681,↓ decreases RED risk
f_65,0.0009195127286839275,0.0009195127286839275,↑ increases RED risk
f_19,-0.0008928892251596325,0.0008928892251596325,↓ decreases RED risk
f_28,-0.0008844446834294917,0.0008844446834294917,↓ decreases RED risk
f_49,-0.0008232413613198762,0.0008232413613198762,↓ decreases RED risk
f_6,-0.0007133496711389907,0.0007133496711389907,↓ decreases RED risk
f_51,0.000709397265595453,0.000709397265595453,↑ increases RED risk
f_73,-0.0006647194195446499,0.0006647194195446499,↓ decreases RED risk
f_21,0.000664493957781944,0.000664493957781944,↑ increases RED risk
f_76,-0.0006449610177206756,0.0006449610177206756,↓ decreases RED risk
f_50,-0.0005822836581936689,0.0005822836581936689,↓ decreases RED risk
f_64,-0.0005759887854397253,0.0005759887854397253,↓ decreases RED risk
f_13,-0.000570668159029435,0.000570668159029435,↓ decreases RED risk
f_35,-0.0005653675829202695,0.0005653675829202695,↓ decreases RED risk
f_43,-0.0005404814579623654,0.0005404814579623654,↓ decreases RED risk
f_25,0.0005397799004037187,0.0005397799004037187,↑ increases RED risk
f_18,-0.0005046552030531224,0.0005046552030531224,↓ decreases RED risk
f_20,-0.000491660831330839,0.000491660831330839,↓ decreases RED risk
f_42,-0.0004826241408979954,0.0004826241408979954,↓ decreases RED risk
f_60,-0.0004818779357404434,0.0004818779357404434,↓ decreases RED risk
f_30,-0.0004577730682034203,0.0004577730682034203,↓ decreases RED risk
f_68,0.0004486370653970065,0.0004486370653970065,↑ increases RED risk
f_12,0.000430004354467745,0.000430004354467745,↑ increases RED risk
f_38,-0.00039662036360195397,0.00039662036360195397,↓ decreases RED risk
f_36,-0.0003833624017197912,0.0003833624017197912,↓ decreases RED risk
f_63,-0.0003210644149310086,0.0003210644149310086,↓ decreases RED risk
f_78,0.00030431645038212407,0.00030431645038212407,↑ increases RED risk
f_33,0.0003035127084108814,0.0003035127084108814,↑ increases RED risk
f_22,-0.0002910290417147861,0.0002910290417147861,↓ decreases RED risk
f_17,0.0002718024963199424,0.0002718024963199424,↑ increases RED risk
f_47,-0.00026873880035085067,0.00026873880035085067,↓ decreases RED risk
f_66,-0.00025854358422664766,0.00025854358422664766,↓ decreases RED risk
f_32,-0.00022264376834822726,0.00022264376834822726,↓ decreases RED risk
f_41,-0.00020612701315056323,0.00020612701315056323,↓ decreases RED risk
f_61,-0.0001859196719985997,0.0001859196719985997,↓ decreases RED risk
f_29,-0.00018066125189136268,0.00018066125189136268,↓ decreases RED risk
f_48,0.00017556642397390025,0.00017556642397390025,↑ increases RED risk
f_31,0.00017525662856007543,0.00017525662856007543,↑ increases RED risk
f_39,0.00016355287983345527,0.00016355287983345527,↑ increases RED risk
f_55,-0.00015175929280485085,0.00015175929280485085,↓ decreases RED risk
f_15,0.00013987060796132636,0.00013987060796132636,↑ increases RED risk
f_58,-0.00013758190296082355,0.00013758190296082355,↓ decreases RED risk
f_5,-0.0001345799083048804,0.0001345799083048804,↓ decreases RED risk
f_10,0.0001249537591201442,0.0001249537591201442,↑ increases RED risk
f_62,0.00012456551157589564,0.00012456551157589564,↑ increases RED risk
f_52,-0.00011905728319544813,0.00011905728319544813,↓ decreases RED risk
f_34,-8.750457404127272e-05,8.750457404127272e-05,↓ decreases RED risk
f_27,-8.655473689806737e-05,8.655473689806737e-05,↓ decreases RED risk
f_46,-8.384535356392969e-05,8.384535356392969e-05,↓ decreases RED risk
f_90,7.353243156132143e-05,7.353243156132143e-05,↑ increases RED risk
f_85,7.353243156132143e-05,7.353243156132143e-05,↑ increases RED risk
f_79,-7.158099344374615e-05,7.158099344374615e-05,↓ decreases RED risk
f_2,-5.831735682319995e-05,5.831735682319995e-05,↓ decreases RED risk
f_23,-5.0617186259510704e-05,5.0617186259510704e-05,↓ decreases RED risk
f_1,-4.9188438066761994e-05,4.9188438066761994e-05,↓ decreases RED risk
f_24,-4.854927721604512e-05,4.854927721604512e-05,↓ decreases RED risk
f_7,-4.6099918110107776e-05,4.6099918110107776e-05,↓ decreases RED risk
f_84,-3.0963876153193746e-05,3.0963876153193746e-05,↓ decreases RED risk
f_45,2.7251588724162526e-05,2.7251588724162526e-05,↑ increases RED risk
f_40,2.33799320040701e-05,2.33799320040701e-05,↑ increases RED risk
f_89,-2.0913263542641216e-05,2.0913263542641216e-05,↓ decreases RED risk
f_80,-1.6888253614199423e-05,1.6888253614199423e-05,↓ decreases RED risk
f_59,-1.5703659970946242e-05,1.5703659970946242e-05,↓ decreases RED risk
f_88,1.1334098869711258e-05,1.1334098869711258e-05,↑ increases RED risk
f_4,9.504230897838705e-06,9.504230897838705e-06,↑ increases RED risk
f_86,-4.696467649489788e-06,4.696467649489788e-06,↓ decreases RED risk
f_16,3.984126917067841e-06,3.984126917067841e-06,↑ increases RED risk
f_87,1.9579694082378923e-06,1.9579694082378923e-06,↑ increases RED risk
f_91,1.9579694082378923e-06,1.9579694082378923e-06,↑ increases RED risk
f_14,-1.0887116296579904e-06,1.0887116296579904e-06,↓ decreases RED risk
