feature,j,importance_mean,importance_std
f_89,89,0.018787878787878864,0.00844144744071765
f_83,83,0.017575757575757623,0.0022676711434993255
f_82,82,0.016363636363636424,0.004535342286998699
f_91,91,0.013939393939393984,0.004110503020075901
f_87,87,0.00848484848484854,0.0022676711434993727
f_69,69,0.00545454545454549,0.00121212121212122
f_26,26,0.0036363636363636598,0.00121212121212122
f_75,75,0.0036363636363636598,0.0029690784761008415
f_81,81,0.003030303030303072,0.013139080841623527
f_12,12,0.00303030303030305,0.0
f_13,13,0.00242424242424244,0.0022676711434993727
f_18,18,0.0018181818181818299,0.0014845392380504207
f_77,77,0.001212121212121242,0.004110503020075908
f_47,47,0.00121212121212122,0.0014845392380504207
f_76,76,0.00121212121212122,0.0014845392380504207
f_43,43,0.00060606060606061,0.00121212121212122
f_30,30,0.00060606060606061,0.00121212121212122
f_37,37,0.00060606060606061,0.00121212121212122
f_63,63,0.00060606060606061,0.00121212121212122
f_36,36,0.00060606060606061,0.00121212121212122
f_20,20,0.00060606060606061,0.00121212121212122
f_90,90,0.00060606060606061,0.00121212121212122
f_85,85,0.00060606060606061,0.00121212121212122
f_73,73,0.00060606060606061,0.00121212121212122
f_71,71,0.00060606060606061,0.00121212121212122
f_9,9,0.0,0.0
f_6,6,0.0,0.0
f_10,10,0.0,0.0
f_62,62,0.0,0.0
f_61,61,0.0,0.0
f_78,78,0.0,0.0
f_58,58,0.0,0.0
f_56,56,0.0,0.0
f_27,27,0.0,0.0
f_24,24,0.0,0.0
f_25,25,0.0,0.0
f_14,14,0.0,0.0
f_15,15,0.0,0.0
f_16,16,0.0,0.0
f_7,7,0.0,0.0
f_22,22,0.0,0.0
f_23,23,0.0,0.0
f_17,17,0.0,0.0
f_19,19,0.0,0.0
f_4,4,0.0,0.0
f_5,5,0.0,0.0
f_2,2,0.0,0.0
f_1,1,0.0,0.0
f_42,42,0.0,0.0
f_32,32,0.0,0.0
f_29,29,0.0,0.0
f_28,28,0.0,0.0
f_35,35,0.0,0.0
f_34,34,0.0,0.0
f_33,33,0.0,0.0
f_38,38,0.0,0.0
f_39,39,0.0,0.0
f_40,40,0.0,0.0
f_41,41,0.0,0.0
f_31,31,0.0,0.0
f_80,80,0.0,0.0
f_84,84,0.0,0.0
f_86,86,0.0,0.0
f_68,68,0.0,0.0
f_64,64,0.0,0.0
f_55,55,0.0,0.0
f_53,53,0.0,0.0
f_59,59,0.0,0.0
f_52,52,0.0,0.0
f_51,51,0.0,0.0
f_49,49,0.0,0.0
f_50,50,0.0,0.0
f_48,48,0.0,0.0
f_46,46,0.0,0.0
f_45,45,0.0,0.0
f_60,60,0.0,0.0
f_88,88,0.0,0.0
f_79,79,0.0,0.0
f_66,66,0.0,0.0
f_70,70,0.0,0.0
f_65,65,0.0,0.0
f_21,21,-0.0006060606060605877,0.0012121212121211755
f_74,74,-0.0006060606060605877,0.0012121212121211755
f_67,67,-0.0006060606060605877,0.0012121212121211755
f_54,54,-0.0012121212121211755,0.001484539238050366
f_57,57,-0.0012121212121211755,0.001484539238050366
f_8,8,-0.0012121212121211755,0.001484539238050366
f_72,72,-0.0018181818181817633,0.001484539238050366
f_11,11,-0.002424242424242373,0.0022676711434993255
f_44,44,-0.003030303030302939,0.0
f_3,3,-0.019393939393939363,0.007808544682863718
f_0,0,-0.029090909090909035,0.005620374845754979
